X,Y,Height
0,1800,3.53613
10,1800,3.54399
20,1800,3.55206
30,1800,3.56071
40,1800,3.56943
50,1800,3.57812
60,1800,3.58724
70,1800,3.59615
80,1800,3.60469
90,1800,3.61328
100,1800,3.62104
110,1800,3.62828
120,1800,3.63385
130,1800,3.63783
140,1800,3.63864
150,1800,3.63591
160,1800,3.62808
170,1800,3.61228
180,1800,3.58749
190,1800,3.54838
200,1800,3.49189
210,1800,3.41356
220,1800,3.30651
230,1800,3.16565
240,1800,2.98649
250,1800,2.76206
260,1800,2.49234
270,1800,2.22272
280,1800,1.97498
290,1800,1.72682
300,1800,1.72682
0,1900,3.53613
10,1900,3.54399
20,1900,3.55206
30,1900,3.56071
40,1900,3.56943
50,1900,3.57812
60,1900,3.58724
70,1900,3.59615
80,1900,3.60469
90,1900,3.61328
100,1900,3.62104
110,1900,3.62828
120,1900,3.63385
130,1900,3.63783
140,1900,3.63864
150,1900,3.63591
160,1900,3.62808
170,1900,3.61228
180,1900,3.58749
190,1900,3.54838
200,1900,3.49189
210,1900,3.41356
220,1900,3.30651
230,1900,3.16565
240,1900,2.98649
250,1900,2.76206
260,1900,2.49234
270,1900,2.22272
280,1900,1.97498
290,1900,1.72682
300,1900,1.72682
0,2000,3.53613
10,2000,3.54399
20,2000,3.55206
30,2000,3.56071
40,2000,3.56943
50,2000,3.57812
60,2000,3.58724
70,2000,3.59615
80,2000,3.60469
90,2000,3.61328
100,2000,3.62104
110,2000,3.62828
120,2000,3.63385
130,2000,3.63783
140,2000,3.63864
150,2000,3.63591
160,2000,3.62808
170,2000,3.61228
180,2000,3.58749
190,2000,3.54838
200,2000,3.49189
210,2000,3.41356
220,2000,3.30651
230,2000,3.16565
240,2000,2.98649
250,2000,2.76206
260,2000,2.49234
270,2000,2.22272
280,2000,1.97498
290,2000,1.72682
300,2000,1.72682
0,2100,3.53613
10,2100,3.54399
20,2100,3.55206
30,2100,3.56071
40,2100,3.56943
50,2100,3.57812
60,2100,3.58724
70,2100,3.59615
80,2100,3.60469
90,2100,3.61328
100,2100,3.62104
110,2100,3.62828
120,2100,3.63385
130,2100,3.63783
140,2100,3.63864
150,2100,3.63591
160,2100,3.62808
170,2100,3.61228
180,2100,3.58749
190,2100,3.54838
200,2100,3.49189
210,2100,3.41356
220,2100,3.30651
230,2100,3.16565
240,2100,2.98649
250,2100,2.76206
260,2100,2.49234
270,2100,2.22272
280,2100,1.97498
290,2100,1.72682
300,2100,1.72682
0,2200,3.53613
10,2200,3.54399
20,2200,3.55206
30,2200,3.56071
40,2200,3.56943
50,2200,3.57812
60,2200,3.58724
70,2200,3.59615
80,2200,3.60469
90,2200,3.61328
100,2200,3.62104
110,2200,3.62828
120,2200,3.63385
130,2200,3.63783
140,2200,3.63864
150,2200,3.63591
160,2200,3.62808
170,2200,3.61227
180,2200,3.58749
190,2200,3.54838
200,2200,3.49189
210,2200,3.41356
220,2200,3.30651
230,2200,3.16565
240,2200,2.98649
250,2200,2.76206
260,2200,2.49234
270,2200,2.22272
280,2200,1.97498
290,2200,1.72682
300,2200,1.72682
0,2300,3.53613
10,2300,3.54399
20,2300,3.55206
30,2300,3.56071
40,2300,3.56943
50,2300,3.57812
60,2300,3.58724
70,2300,3.59615
80,2300,3.60469
90,2300,3.61328
100,2300,3.62104
110,2300,3.62828
120,2300,3.63385
130,2300,3.63783
140,2300,3.63864
150,2300,3.63591
160,2300,3.62808
170,2300,3.61228
180,2300,3.58749
190,2300,3.54838
200,2300,3.49189
210,2300,3.41356
220,2300,3.30651
230,2300,3.16565
240,2300,2.98649
250,2300,2.76206
260,2300,2.49234
270,2300,2.22272
280,2300,1.97498
290,2300,1.72682
300,2300,1.72682
0,2400,3.53613
10,2400,3.54399
20,2400,3.55206
30,2400,3.56071
40,2400,3.56943
50,2400,3.57812
60,2400,3.58724
70,2400,3.59615
80,2400,3.60469
90,2400,3.61328
100,2400,3.62104
110,2400,3.62828
120,2400,3.63385
130,2400,3.63783
140,2400,3.63864
150,2400,3.63591
160,2400,3.62808
170,2400,3.61228
180,2400,3.58749
190,2400,3.54838
200,2400,3.49189
210,2400,3.41356
220,2400,3.30651
230,2400,3.16565
240,2400,2.98649
250,2400,2.76206
260,2400,2.49234
270,2400,2.22272
280,2400,1.97498
290,2400,1.72682
300,2400,1.72682
0,2500,3.53613
10,2500,3.54399
20,2500,3.55206
30,2500,3.56071
40,2500,3.56942
50,2500,3.57812
60,2500,3.58723
70,2500,3.59614
80,2500,3.60469
90,2500,3.61327
100,2500,3.62103
110,2500,3.62826
120,2500,3.63383
130,2500,3.63781
140,2500,3.63861
150,2500,3.63588
160,2500,3.62804
170,2500,3.61223
180,2500,3.58744
190,2500,3.54834
200,2500,3.49184
210,2500,3.41352
220,2500,3.30647
230,2500,3.16562
240,2500,2.98646
250,2500,2.76204
260,2500,2.49232
270,2500,2.22271
280,2500,1.97496
290,2500,1.72681
300,2500,1.72682
0,2600,3.53613
10,2600,3.54399
20,2600,3.55206
30,2600,3.56071
40,2600,3.56941
50,2600,3.5781
60,2600,3.58721
70,2600,3.5961
80,2600,3.60464
90,2600,3.61321
100,2600,3.62096
110,2600,3.62818
120,2600,3.63374
130,2600,3.63772
140,2600,3.63852
150,2600,3.63578
160,2600,3.62795
170,2600,3.61214
180,2600,3.58736
190,2600,3.54826
200,2600,3.49178
210,2600,3.41347
220,2600,3.30644
230,2600,3.1656
240,2600,2.98645
250,2600,2.76205
260,2600,2.49233
270,2600,2.22272
280,2600,1.97497
290,2600,1.72681
300,2600,1.72682
0,2700,3.53613
10,2700,3.54399
20,2700,3.55208
30,2700,3.56077
40,2700,3.56954
50,2700,3.57832
60,2700,3.58753
70,2700,3.59655
80,2700,3.60523
90,2700,3.61396
100,2700,3.62187
110,2700,3.62927
120,2700,3.63501
130,2700,3.63916
140,2700,3.64013
150,2700,3.63754
160,2700,3.62983
170,2700,3.61412
180,2700,3.58938
190,2700,3.55027
200,2700,3.4937
210,2700,3.41523
220,2700,3.30796
230,2700,3.16684
240,2700,2.98738
250,2700,2.76267
260,2700,2.49287
270,2700,2.22323
280,2700,1.97547
290,2700,1.72707
300,2700,1.72682
0,2800,3.53613
10,2800,3.54397
20,2800,3.55302
30,2800,3.56293
40,2800,3.57296
50,2800,3.58296
60,2800,3.59332
70,2800,3.60341
80,2800,3.61307
90,2800,3.62269
100,2800,3.6314
110,2800,3.63948
120,2800,3.6458
130,2800,3.6504
140,2800,3.65167
150,2800,3.64922
160,2800,3.64145
170,2800,3.62546
180,2800,3.6002
190,2800,3.56029
200,2800,3.50265
210,2800,3.42287
220,2800,3.31412
230,2800,3.17146
240,2800,2.99056
250,2800,2.76462
260,2800,2.49435
270,2800,2.22458
280,2800,1.97688
290,2800,1.72793
300,2800,1.72682
0,2900,3.53613
10,2900,3.5409
20,2900,3.54586
30,2900,3.5514
40,2900,3.55704
50,2900,3.56269
60,2900,3.56881
70,2900,3.57477
80,2900,3.58042
90,2900,3.58616
100,2900,3.59117
110,2900,3.59573
120,2900,3.59876
130,2900,3.60033
140,2900,3.59894
150,2900,3.59424
160,2900,3.58475
170,2900,3.56775
180,2900,3.54227
190,2900,3.50329
200,2900,3.44785
210,2900,3.37164
220,2900,3.26811
230,2900,3.13235
240,2900,2.95939
250,2900,2.74238
260,2900,2.47618
270,2900,2.2183
