Actual,ANN_Predicted,SVR_Predicted,RF_Predicted,MLP_Predicted
2.3,1.0257291,3.034852977,2.5225,2.307105241
2.578,2.6776185,8.053405056,2.8914,2.898381917
5.686,5.5418634,9.972466545,5.86297,5.161869762
21.966,21.796507,20.49562455,19.71124,22.26079077
0.542,0.2291356,1.921929248,0.60387,1.253997169
2.249,2.731806,5.904468853,2.25361,3.007108192
7.034,6.1855526,12.20015566,6.55486,6.798331607
0.652,0.76747787,2.511558629,0.72826,0.332026181
4.303,6.733572,9.166951558,3.66185,4.904109424
2.4,2.9636712,5.387266442,2.00124,2.122159468
1.16,0.2291356,5.391417649,1.96885,1.615817065
0.568,0.2291356,2.764022934,0.48479,0.487974623
2.261,0.899698,3.201981149,1.47859,1.677281374
4.672,6.098812,9.622893807,5.14454,5.104914412
0.155,0.2291356,1.833958302,0.29833,0.345371775
1.449,0.8366232,3.42906335,1.49201,1.659219421
0.271,0.6195384,1.555433917,0.36088,0.278286018
0.378,0.86065054,2.292308711,1.07704,1.320443008
0.967,0.9867412,3.161062759,1.10406,0.781848482
2.612,2.6237304,5.070889156,2.0693,2.056817981
4.57,4.163723,10.15667495,3.84936,4.167890403
0.621,0.2291356,2.950504136,0.93307,0.90010462
7.679,6.0872993,14.95047242,6.12136,6.595741433
0.378,0.8021904,2.493463728,0.47578,0.578730028
5.863,7.068754,14.94648943,7.16587,6.900628358
1.591,2.14082,3.762287017,1.51593,2.081741128
0.35,0.2291356,2.488440108,0.46014,0.50777474
2.022,1.1420919,4.363732902,1.95487,1.971303536
14.345,12.497269,17.60840054,13.79249,10.67535155
12.07,11.570888,19.03900283,11.86032,12.24424988
0.318,0.52924955,1.6189357,0.35207,0.127170015
5.561,4.0769234,10.45284258,4.8536,4.930849638
2.558,2.8440614,7.095697631,3.53801,3.004514474
4.146,5.442706,12.63716283,4.54416,4.767569647
0.401,0.87409973,2.31653774,0.64386,0.648299859
1.74,0.57048,4.939067263,1.83671,2.069449727
0.39,0.2291356,2.46904266,0.5656,0.400278371
3.694,3.226222,7.247006971,3.3554,3.359304543
3.1,6.368578,13.59367852,7.02924,6.384882455
3.161,4.0109544,8.10808472,4.90558,4.061157121
3.895,4.1093335,8.987708955,3.42697,3.15968965
1.234,1.7735032,3.654510541,1.35581,1.501851771
3.794,4.0854692,6.780829739,3.01317,3.963224556
21.906,22.665197,21.11321107,22.71007,23.6963285
2.778,1.1757822,5.525537011,2.56981,2.871162214
2.7,2.9628491,5.883842277,3.064,3.515115414
2.562,1.7767756,5.412249339,2.15723,2.110502174
5.126,5.249976,11.17225863,6.18207,5.382474969
2.667,1.924863,4.414450537,2.47244,2.460783913
0.259,0.4729365,1.720991081,0.37938,0.394408674
2.789,1.8650573,6.398035182,2.69718,2.942780457
0.197,0.49490398,1.800632571,0.26281,0.248741808
1.494,0.2291356,5.384306137,2.51755,1.595118558
1.81,1.6440783,5.943897237,1.5256,2.154081901
5.674,5.419073,13.05360984,4.99937,5.157602118
4.134,0.83229065,3.397035336,3.21251,2.350800815
0.476,0.2291356,1.98078954,0.60381,1.283967731
0.997,0.2291356,3.040901726,0.8447,1.493609738
15.206,10.473536,18.33955679,11.75586,12.64068581
4.926,8.599579,13.511589,8.00864,8.81397435
1.443,1.517568,4.084720487,1.32723,1.544176064
0.567,0.7465879,2.434398928,0.60062,0.035648583
3.4,0.45961583,4.11532221,2.56574,1.536114518
1.717,1.7685403,3.866287728,1.48283,2.13538753
2.418,2.0857596,4.644781137,2.23778,1.984016963
33.145,25.404264,20.94450032,27.55972,29.71429299
1.397,0.9409561,3.763853757,2.01445,1.163511465
0.306,0.5309106,2.210423385,1.34307,0.822347946
2.293,2.5697656,5.384387121,2.32405,1.9482414
0.453,0.3319385,2.35022769,0.53766,0.602925225
1.099,1.793995,3.057964454,1.03037,1.177820519
7.621,12.327081,16.1448236,11.57396,9.513936082
0.322,0.6026211,2.404551207,0.49481,0.534884569
1.682,2.0791113,5.045697214,2.05825,1.902601154
7.408,7.339416,13.56404151,7.76114,7.845417063
1.305,1.0790764,3.319707168,0.80475,1.185703407
1.99,3.8818564,6.168422215,2.63837,2.823744717
1.553,1.2899033,4.909436053,1.80464,1.717756556
2,2.38018,6.29166282,2.5675,2.984411489
4.299,4.768451,11.50122954,4.11977,4.42579648
5.564,6.4250298,12.06263059,6.03513,6.628031534
