Exper_x1,Pre_x1,Exper_x2,Pre_x2,Exper_x3,Pre_x3,Exper_x4,Pre_x4,Exper_x5,Pre_x5,Exper_x6,Pre_x6
0.94485,0.70705,0.80565,0.75704,0.75425,0.81727,0.81226,0.83442,0.78508,0.97905,0.90285,0.94878
0.9559,0.65478,0.7851,0.77307,0.75425,0.81727,0.82303,0.81529,0.7775,0.95329,0.93368,0.93309
0.88987,0.71435,0.7901,0.79872,0.77809,0.8197,0.82842,0.79582,0.79435,0.95329,0.93368,0.95389
0.86606,0.72665,0.71605,0.80834,0.77809,0.8197,0.8356,0.84416,0.8095,0.9483,0.94922,0.97197
0.86606,0.72665,0.7453,0.8315,0.80802,0.7851,0.8356,0.87789,0.8095,0.97405,0.97036,0.99277
0.88619,0.73934,0.72448,0.83862,0.7923,0.84772,0.8356,0.89493,0.83196,0.98174,0.96654,0.95901
0.88619,0.73934,0.72448,0.83862,0.76236,0.86709,0.88203,0.81042,0.83196,0.95599,0.96858,0.91774
0.83489,0.72934,0.72633,0.86641,0.74968,0.95565,0.86946,0.80555,0.82073,0.90986,1.00527,0.92013
0.82043,0.70936,0.72633,0.86641,0.79382,0.86916,0.86946,0.83929,0.86957,0.87873,1.03635,0.9382
0.80201,0.72435,0.74003,0.89206,0.79382,0.86916,0.88895,0.84172,0.87715,0.89411,1.00909,0.95901
0.76715,0.72934,0.74003,0.89206,0.8065,0.87574,0.87484,0.88033,0.94283,0.8968,1.00145,0.99004
0.7544,0.74933,0.73502,0.93196,0.8065,0.87574,0.93538,0.81042,0.9577,0.92255,0.95304,0.88398
0.73796,0.80122,0.73318,0.9341,0.86814,0.93178,0.95513,0.82955,1.00458,1.00211,0.59304,0.87375
0.77651,0.8089,0.75558,0.97365,0.88868,0.92313,0.93538,0.8612,1.00458,0.98174,0.62973,0.88125
0.8295,0.8212,0.76243,0.90132,0.88868,0.92313,0.94615,0.91684,1.03096,0.98174,0.62387,0.90205
0.83489,0.84849,0.78325,0.91558,0.90137,0.91863,0.96026,0.90467,0.97847,1.00979,0.67432,0.91263
0.86606,0.8335,0.78141,0.91558,0.90137,0.91863,0.9836,0.93354,0.95209,1.00979,0.711,0.90205
0.89355,0.81352,0.7851,0.93873,0.93307,0.90583,0.96924,0.95788,0.91841,1.0048,0.72451,0.86829
0.83319,0.77662,0.7851,0.93873,0.93307,0.90583,0.93179,0.95545,0.95209,0.97635,0.72858,0.81918
0.96129,0.76393,0.8075,0.94123,0.93307,0.88196,0.94615,0.97492,0.96725,0.97405,0.75763,0.83998
0.94655,0.69937,0.81619,0.95975,0.96478,0.88438,0.9995,0.98431,0.9389,0.96636,,
0.9321,0.68207,0.81619,0.95975,0.96478,0.91448,1.0031,0.97249,0.71744,0.91217,,
0.9321,0.64748,0.82805,0.95761,0.93003,0.9297,0.9995,0.92902,0.6613,0.9483,,
0.96497,0.65747,0.82463,0.92484,0.92191,0.95772,1.02823,0.94084,0.63127,0.97905,,
1.02166,0.76893,0.82463,0.92484,0.92191,0.95772,,,0.50749,0.91486,,
1.0072,0.80621,0.8299,0.89669,0.93789,0.96395,,,0.58047,0.87105,,
0.97036,0.81352,0.8299,0.89669,0.93789,0.96395,,,0.38343,0.86105,,
0.96129,0.75894,0.80908,0.86427,0.95514,0.97502,,,0.33655,0.90717,,
0.93578,0.8508,0.80908,0.86427,0.95514,0.97502,,,,,,
