%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
          18.           90.       0.04289        0.0000        0.0000 
          19.           90.       0.04100        0.0000        0.0000 
          20.           90.       0.03927        0.0000        0.0000 
          21.           90.       0.03768        0.0000        0.0000 
          22.           90.       0.03622        0.0000        0.0000 
          23.           90.       0.03486        0.0000        0.0000 
          24.           90.       0.03361        0.0000        0.0000 
          25.           90.       0.03244        0.0000        0.0000 
          26.           90.       0.03135        0.0000        0.0000 
          27.           90.       0.03033        0.0000        0.0000 
          28.           90.       0.02938        0.0000        0.0000 
          29.           90.       0.02848        0.0000        0.0000 
          30.           90.       0.02764        0.0000        0.0000 
          31.           90.       0.02685        0.0000        0.0000 
          32.           90.       0.02610        0.0000        0.0000 
          33.           90.       0.02539        0.0000        0.0000 
          34.           90.       0.02472        0.0000        0.0000 
          35.           90.       0.02409        0.0000        0.0000 
          36.           90.       0.02348        0.0000        0.0000 
          37.           90.       0.02291        0.0000        0.0000 
          38.           90.       0.02236        0.0000        0.0000 
          39.           90.       0.02184        0.0000        0.0000 
          40.           90.       0.02134        0.0000        0.0000 
          41.           90.       0.02087        0.0000        0.0000 
          42.           90.       0.02041        0.0000        0.0000 
          43.           90.       0.01998        0.0000        0.0000 
          44.           90.       0.01956        0.0000        0.0000 
          45.           90.       0.01916        0.0000        0.0000 
          46.           90.       0.01878        0.0000        0.0000 
          47.           90.       0.01841        0.0000        0.0000 
          48.           90.       0.01805        0.0000        0.0000 
          49.           90.       0.01771        0.0000        0.0000 
          50.           90.       0.01739        0.0000        0.0000 
           0.          100.       0.28347        0.0000        0.0000 
           1.          100.       0.23190        0.0000        0.0000 
           2.          100.       0.18825        0.0000        0.0000 
           3.          100.       0.15502        0.0000        0.0000 
           4.          100.       0.13063        0.0000        0.0000 
           5.          100.       0.11272        0.0000        0.0000 
           6.          100.       0.09931        0.0000        0.0000 
           7.          100.       0.08896        0.0000        0.0000 
           8.          100.       0.08073        0.0000        0.0000 
           9.          100.       0.07400        0.0000        0.0000 
          10.          100.       0.06838        0.0000        0.0000 
          11.          100.       0.06359        0.0000        0.0000 
          12.          100.       0.05945        0.0000        0.0000 
          13.          100.       0.05583        0.0000        0.0000 
          14.          100.       0.05264        0.0000        0.0000 
          15.          100.       0.04980        0.0000        0.0000 
          16.          100.       0.04726        0.0000        0.0000 
          17.          100.       0.04497        0.0000        0.0000 
          18.          100.       0.04289        0.0000        0.0000 
          19.          100.       0.04100        0.0000        0.0000 
          20.          100.       0.03927        0.0000        0.0000 
          21.          100.       0.03768        0.0000        0.0000 
          22.          100.       0.03622        0.0000        0.0000 
          23.          100.       0.03486        0.0000        0.0000 
          24.          100.       0.03361        0.0000        0.0000 
          25.          100.       0.03244        0.0000        0.0000 
          26.          100.       0.03135        0.0000        0.0000 
          27.          100.       0.03033        0.0000        0.0000 
          28.          100.       0.02938        0.0000        0.0000 
          29.          100.       0.02848        0.0000        0.0000 
          30.          100.       0.02764        0.0000        0.0000 
          31.          100.       0.02685        0.0000        0.0000 
          32.          100.       0.02610        0.0000        0.0000 
          33.          100.       0.02539        0.0000        0.0000 
          34.          100.       0.02472        0.0000        0.0000 
          35.          100.       0.02409        0.0000        0.0000 
          36.          100.       0.02348        0.0000        0.0000 
          37.          100.       0.02291        0.0000        0.0000 
          38.          100.       0.02236        0.0000        0.0000 
          39.          100.       0.02184        0.0000        0.0000 
          40.          100.       0.02134        0.0000        0.0000 
          41.          100.       0.02087        0.0000        0.0000 
          42.          100.       0.02041        0.0000        0.0000 
          43.          100.       0.01998        0.0000        0.0000 
          44.          100.       0.01956        0.0000        0.0000 
          45.          100.       0.01916        0.0000        0.0000 
          46.          100.       0.01878        0.0000        0.0000 
          47.          100.       0.01841        0.0000        0.0000 
          48.          100.       0.01805        0.0000        0.0000 
          49.          100.       0.01771        0.0000        0.0000 
          50.          100.       0.01739        0.0000        0.0000 
           0.          110.       0.28347        0.0000        0.0000 
           1.          110.       0.23190        0.0000        0.0000 
           2.          110.       0.18825        0.0000        0.0000 
           3.          110.       0.15502        0.0000        0.0000 
           4.          110.       0.13063        0.0000        0.0000 
           5.          110.       0.11272        0.0000        0.0000 
           6.          110.       0.09931        0.0000        0.0000 
           7.          110.       0.08896        0.0000        0.0000 
           8.          110.       0.08073        0.0000        0.0000 
           9.          110.       0.07400        0.0000        0.0000 
          10.          110.       0.06838        0.0000        0.0000 
          11.          110.       0.06359        0.0000        0.0000 
          12.          110.       0.05945        0.0000        0.0000 
          13.          110.       0.05583        0.0000        0.0000 
          14.          110.       0.05264        0.0000        0.0000 
          15.          110.       0.04980        0.0000        0.0000 
          16.          110.       0.04726        0.0000        0.0000 
          17.          110.       0.04497        0.0000        0.0000 
          18.          110.       0.04289        0.0000        0.0000 
          19.          110.       0.04100        0.0000        0.0000 
          20.          110.       0.03927        0.0000        0.0000 
          21.          110.       0.03768        0.0000        0.0000 
          22.          110.       0.03622        0.0000        0.0000 
          23.          110.       0.03486        0.0000        0.0000 
          24.          110.       0.03361        0.0000        0.0000 
          25.          110.       0.03244        0.0000        0.0000 
          26.          110.       0.03135        0.0000        0.0000 
          27.          110.       0.03033        0.0000        0.0000 
          28.          110.       0.02938        0.0000        0.0000 
          29.          110.       0.02848        0.0000        0.0000 
          30.          110.       0.02764        0.0000        0.0000 
          31.          110.       0.02685        0.0000        0.0000 
          32.          110.       0.02610        0.0000        0.0000 
          33.          110.       0.02539        0.0000        0.0000 
          34.          110.       0.02472        0.0000        0.0000 
