%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
          14.          380.       0.05264        0.0000        0.0000 
          15.          380.       0.04980        0.0000        0.0000 
          16.          380.       0.04726        0.0000        0.0000 
          17.          380.       0.04497        0.0000        0.0000 
          18.          380.       0.04289        0.0000        0.0000 
          19.          380.       0.04100        0.0000        0.0000 
          20.          380.       0.03927        0.0000        0.0000 
          21.          380.       0.03768        0.0000        0.0000 
          22.          380.       0.03622        0.0000        0.0000 
          23.          380.       0.03486        0.0000        0.0000 
          24.          380.       0.03361        0.0000        0.0000 
          25.          380.       0.03244        0.0000        0.0000 
          26.          380.       0.03135        0.0000        0.0000 
          27.          380.       0.03033        0.0000        0.0000 
          28.          380.       0.02938        0.0000        0.0000 
          29.          380.       0.02848        0.0000        0.0000 
          30.          380.       0.02764        0.0000        0.0000 
          31.          380.       0.02685        0.0000        0.0000 
          32.          380.       0.02610        0.0000        0.0000 
          33.          380.       0.02539        0.0000        0.0000 
          34.          380.       0.02472        0.0000        0.0000 
          35.          380.       0.02409        0.0000        0.0000 
          36.          380.       0.02348        0.0000        0.0000 
          37.          380.       0.02291        0.0000        0.0000 
          38.          380.       0.02236        0.0000        0.0000 
          39.          380.       0.02184        0.0000        0.0000 
          40.          380.       0.02134        0.0000        0.0000 
          41.          380.       0.02087        0.0000        0.0000 
          42.          380.       0.02041        0.0000        0.0000 
          43.          380.       0.01998        0.0000        0.0000 
          44.          380.       0.01956        0.0000        0.0000 
          45.          380.       0.01916        0.0000        0.0000 
          46.          380.       0.01878        0.0000        0.0000 
          47.          380.       0.01841        0.0000        0.0000 
          48.          380.       0.01805        0.0000        0.0000 
          49.          380.       0.01771        0.0000        0.0000 
          50.          380.       0.01739        0.0000        0.0000 
           0.          390.       0.28347        0.0000        0.0000 
           1.          390.       0.23190        0.0000        0.0000 
           2.          390.       0.18825        0.0000        0.0000 
           3.          390.       0.15502        0.0000        0.0000 
           4.          390.       0.13063        0.0000        0.0000 
           5.          390.       0.11272        0.0000        0.0000 
           6.          390.       0.09931        0.0000        0.0000 
           7.          390.       0.08896        0.0000        0.0000 
           8.          390.       0.08073        0.0000        0.0000 
           9.          390.       0.07400        0.0000        0.0000 
          10.          390.       0.06838        0.0000        0.0000 
          11.          390.       0.06359        0.0000        0.0000 
          12.          390.       0.05945        0.0000        0.0000 
          13.          390.       0.05583        0.0000        0.0000 
          14.          390.       0.05264        0.0000        0.0000 
          15.          390.       0.04980        0.0000        0.0000 
          16.          390.       0.04726        0.0000        0.0000 
          17.          390.       0.04497        0.0000        0.0000 
          18.          390.       0.04289        0.0000        0.0000 
          19.          390.       0.04100        0.0000        0.0000 
          20.          390.       0.03927        0.0000        0.0000 
          21.          390.       0.03768        0.0000        0.0000 
          22.          390.       0.03622        0.0000        0.0000 
          23.          390.       0.03486        0.0000        0.0000 
          24.          390.       0.03361        0.0000        0.0000 
          25.          390.       0.03244        0.0000        0.0000 
          26.          390.       0.03135        0.0000        0.0000 
          27.          390.       0.03033        0.0000        0.0000 
          28.          390.       0.02938        0.0000        0.0000 
          29.          390.       0.02848        0.0000        0.0000 
          30.          390.       0.02764        0.0000        0.0000 
          31.          390.       0.02685        0.0000        0.0000 
          32.          390.       0.02610        0.0000        0.0000 
          33.          390.       0.02539        0.0000        0.0000 
          34.          390.       0.02472        0.0000        0.0000 
          35.          390.       0.02409        0.0000        0.0000 
          36.          390.       0.02348        0.0000        0.0000 
          37.          390.       0.02291        0.0000        0.0000 
          38.          390.       0.02236        0.0000        0.0000 
          39.          390.       0.02184        0.0000        0.0000 
          40.          390.       0.02134        0.0000        0.0000 
          41.          390.       0.02087        0.0000        0.0000 
          42.          390.       0.02041        0.0000        0.0000 
          43.          390.       0.01998        0.0000        0.0000 
          44.          390.       0.01956        0.0000        0.0000 
          45.          390.       0.01916        0.0000        0.0000 
          46.          390.       0.01878        0.0000        0.0000 
          47.          390.       0.01841        0.0000        0.0000 
          48.          390.       0.01805        0.0000        0.0000 
          49.          390.       0.01771        0.0000        0.0000 
          50.          390.       0.01739        0.0000        0.0000 
           0.          400.       0.28347        0.0000        0.0000 
           1.          400.       0.23190        0.0000        0.0000 
           2.          400.       0.18825        0.0000        0.0000 
           3.          400.       0.15502        0.0000        0.0000 
           4.          400.       0.13063        0.0000        0.0000 
           5.          400.       0.11272        0.0000        0.0000 
           6.          400.       0.09931        0.0000        0.0000 
           7.          400.       0.08896        0.0000        0.0000 
           8.          400.       0.08073        0.0000        0.0000 
           9.          400.       0.07400        0.0000        0.0000 
          10.          400.       0.06838        0.0000        0.0000 
          11.          400.       0.06359        0.0000        0.0000 
          12.          400.       0.05945        0.0000        0.0000 
          13.          400.       0.05583        0.0000        0.0000 
          14.          400.       0.05264        0.0000        0.0000 
          15.          400.       0.04980        0.0000        0.0000 
          16.          400.       0.04726        0.0000        0.0000 
          17.          400.       0.04497        0.0000        0.0000 
          18.          400.       0.04289        0.0000        0.0000 
          19.          400.       0.04100        0.0000        0.0000 
          20.          400.       0.03927        0.0000        0.0000 
          21.          400.       0.03768        0.0000        0.0000 
          22.          400.       0.03622        0.0000        0.0000 
          23.          400.       0.03486        0.0000        0.0000 
          24.          400.       0.03361        0.0000        0.0000 
          25.          400.       0.03244        0.0000        0.0000 
          26.          400.       0.03135        0.0000        0.0000 
          27.          400.       0.03033        0.0000        0.0000 
          28.          400.       0.02938        0.0000        0.0000 
          29.          400.       0.02848        0.0000        0.0000 
          30.          400.       0.02764        0.0000        0.0000 
          31.          400.       0.02685        0.0000        0.0000 
          32.          400.       0.02610        0.0000        0.0000 
          33.          400.       0.02539        0.0000        0.0000 
          34.          400.       0.02472        0.0000        0.0000 
          35.          400.       0.02409        0.0000        0.0000 
          36.          400.       0.02348        0.0000        0.0000 
          37.          400.       0.02291        0.0000        0.0000 
          38.          400.       0.02236        0.0000        0.0000 
          39.          400.       0.02184        0.0000        0.0000 
          40.          400.       0.02134        0.0000        0.0000 
          41.          400.       0.02087        0.0000        0.0000 
          42.          400.       0.02041        0.0000        0.0000 
          43.          400.       0.01998        0.0000        0.0000 
          44.          400.       0.01956        0.0000        0.0000 
          45.          400.       0.01916        0.0000        0.0000 
          46.          400.       0.01878        0.0000        0.0000 
          47.          400.       0.01841        0.0000        0.0000 
          48.          400.       0.01805        0.0000        0.0000 
          49.          400.       0.01771        0.0000        0.0000 
          50.          400.       0.01739        0.0000        0.0000 
           0.          410.       0.28347        0.0000        0.0000 
           1.          410.       0.23190        0.0000        0.0000 
           2.          410.       0.18825        0.0000        0.0000 
           3.          410.       0.15502        0.0000        0.0000 
           4.          410.       0.13063        0.0000        0.0000 
           5.          410.       0.11272        0.0000        0.0000 
           6.          410.       0.09931        0.0000        0.0000 
           7.          410.       0.08896        0.0000        0.0000 
           8.          410.       0.08073        0.0000        0.0000 
           9.          410.       0.07400        0.0000        0.0000 
          10.          410.       0.06838        0.0000        0.0000 
          11.          410.       0.06359        0.0000        0.0000 
          12.          410.       0.05945        0.0000        0.0000 
          13.          410.       0.05583        0.0000        0.0000 
          14.          410.       0.05264        0.0000        0.0000 
          15.          410.       0.04980        0.0000        0.0000 
          16.          410.       0.04726        0.0000        0.0000 
          17.          410.       0.04497        0.0000        0.0000 
          18.          410.       0.04289        0.0000        0.0000 
          19.          410.       0.04100        0.0000        0.0000 
          20.          410.       0.03927        0.0000        0.0000 
          21.          410.       0.03768        0.0000        0.0000 
          22.          410.       0.03622        0.0000        0.0000 
          23.          410.       0.03486        0.0000        0.0000 
          24.          410.       0.03361        0.0000        0.0000 
          25.          410.       0.03244        0.0000        0.0000 
          26.          410.       0.03135        0.0000        0.0000 
          27.          410.       0.03033        0.0000        0.0000 
          28.          410.       0.02938        0.0000        0.0000 
          29.          410.       0.02848        0.0000        0.0000 
          30.          410.       0.02764        0.0000        0.0000 
          31.          410.       0.02685        0.0000        0.0000 
          32.          410.       0.02610        0.0000        0.0000 
          33.          410.       0.02539        0.0000        0.0000 
          34.          410.       0.02472        0.0000        0.0000 
          35.          410.       0.02409        0.0000        0.0000 
          36.          410.       0.02348        0.0000        0.0000 
          37.          410.       0.02291        0.0000        0.0000 
          38.          410.       0.02236        0.0000        0.0000 
          39.          410.       0.02184        0.0000        0.0000 
          40.          410.       0.02134        0.0000        0.0000 
          41.          410.       0.02087        0.0000        0.0000 
          42.          410.       0.02041        0.0000        0.0000 
          43.          410.       0.01998        0.0000        0.0000 
          44.          410.       0.01956        0.0000        0.0000 
          45.          410.       0.01916        0.0000        0.0000 
          46.          410.       0.01878        0.0000        0.0000 
          47.          410.       0.01841        0.0000        0.0000 
          48.          410.       0.01805        0.0000        0.0000 
          49.          410.       0.01771        0.0000        0.0000 
          50.          410.       0.01739        0.0000        0.0000 
           0.          420.       0.28347        0.0000        0.0000 
           1.          420.       0.23190        0.0000        0.0000 
           2.          420.       0.18825        0.0000        0.0000 
           3.          420.       0.15502        0.0000        0.0000 
           4.          420.       0.13063        0.0000        0.0000 
           5.          420.       0.11272        0.0000        0.0000 
           6.          420.       0.09931        0.0000        0.0000 
           7.          420.       0.08896        0.0000        0.0000 
           8.          420.       0.08073        0.0000        0.0000 
           9.          420.       0.07400        0.0000        0.0000 
          10.          420.       0.06838        0.0000        0.0000 
          11.          420.       0.06359        0.0000        0.0000 
          12.          420.       0.05945        0.0000        0.0000 
          13.          420.       0.05583        0.0000        0.0000 
          14.          420.       0.05264        0.0000        0.0000 
          15.          420.       0.04980        0.0000        0.0000 
          16.          420.       0.04726        0.0000        0.0000 
          17.          420.       0.04497        0.0000        0.0000 
          18.          420.       0.04289        0.0000        0.0000 
          19.          420.       0.04100        0.0000        0.0000 
          20.          420.       0.03927        0.0000        0.0000 
          21.          420.       0.03768        0.0000        0.0000 
          22.          420.       0.03622        0.0000        0.0000 
          23.          420.       0.03486        0.0000        0.0000 
          24.          420.       0.03361        0.0000        0.0000 
          25.          420.       0.03244        0.0000        0.0000 
          26.          420.       0.03135        0.0000        0.0000 
          27.          420.       0.03033        0.0000        0.0000 
          28.          420.       0.02938        0.0000        0.0000 
          29.          420.       0.02848        0.0000        0.0000 
          30.          420.       0.02764        0.0000        0.0000 
          31.          420.       0.02685        0.0000        0.0000 
          32.          420.       0.02610        0.0000        0.0000 
          33.          420.       0.02539        0.0000        0.0000 
          34.          420.       0.02472        0.0000        0.0000 
          35.          420.       0.02409        0.0000        0.0000 
          36.          420.       0.02348        0.0000        0.0000 
          37.          420.       0.02291        0.0000        0.0000 
          38.          420.       0.02236        0.0000        0.0000 
          39.          420.       0.02184        0.0000        0.0000 
          40.          420.       0.02134        0.0000        0.0000 
          41.          420.       0.02087        0.0000        0.0000 
          42.          420.       0.02041        0.0000        0.0000 
          43.          420.       0.01998        0.0000        0.0000 
          44.          420.       0.01956        0.0000        0.0000 
          45.          420.       0.01916        0.0000        0.0000 
          46.          420.       0.01878        0.0000        0.0000 
          47.          420.       0.01841        0.0000        0.0000 
          48.          420.       0.01805        0.0000        0.0000 
          49.          420.       0.01771        0.0000        0.0000 
          50.          420.       0.01739        0.0000        0.0000 
           0.          430.       0.28347        0.0000        0.0000 
           1.          430.       0.23190        0.0000        0.0000 
           2.          430.       0.18825        0.0000        0.0000 
           3.          430.       0.15502        0.0000        0.0000 
           4.          430.       0.13063        0.0000        0.0000 
           5.          430.       0.11272        0.0000        0.0000 
           6.          430.       0.09931        0.0000        0.0000 
           7.          430.       0.08896        0.0000        0.0000 
           8.          430.       0.08073        0.0000        0.0000 
           9.          430.       0.07400        0.0000        0.0000 
          10.          430.       0.06838        0.0000        0.0000 
          11.          430.       0.06359        0.0000        0.0000 
          12.          430.       0.05945        0.0000        0.0000 
          13.          430.       0.05583        0.0000        0.0000 
          14.          430.       0.05264        0.0000        0.0000 
          15.          430.       0.04980        0.0000        0.0000 
          16.          430.       0.04726        0.0000        0.0000 
          17.          430.       0.04497        0.0000        0.0000 
          18.          430.       0.04289        0.0000        0.0000 
          19.          430.       0.04100        0.0000        0.0000 
          20.          430.       0.03927        0.0000        0.0000 
          21.          430.       0.03768        0.0000        0.0000 
          22.          430.       0.03622        0.0000        0.0000 
          23.          430.       0.03486        0.0000        0.0000 
          24.          430.       0.03361        0.0000        0.0000 
          25.          430.       0.03244        0.0000        0.0000 
          26.          430.       0.03135        0.0000        0.0000 
          27.          430.       0.03033        0.0000        0.0000 
          28.          430.       0.02938        0.0000        0.0000 
          29.          430.       0.02848        0.0000        0.0000 
          30.          430.       0.02764        0.0000        0.0000 
          31.          430.       0.02685        0.0000        0.0000 
          32.          430.       0.02610        0.0000        0.0000 
          33.          430.       0.02539        0.0000        0.0000 
          34.          430.       0.02472        0.0000        0.0000 
          35.          430.       0.02409        0.0000        0.0000 
          36.          430.       0.02348        0.0000        0.0000 
          37.          430.       0.02291        0.0000        0.0000 
          38.          430.       0.02236        0.0000        0.0000 
          39.          430.       0.02184        0.0000        0.0000 
          40.          430.       0.02134        0.0000        0.0000 
          41.          430.       0.02087        0.0000        0.0000 
          42.          430.       0.02041        0.0000        0.0000 
          43.          430.       0.01998        0.0000        0.0000 
          44.          430.       0.01956        0.0000        0.0000 
          45.          430.       0.01916        0.0000        0.0000 
          46.          430.       0.01878        0.0000        0.0000 
          47.          430.       0.01841        0.0000        0.0000 
          48.          430.       0.01805        0.0000        0.0000 
          49.          430.       0.01771        0.0000        0.0000 
          50.          430.       0.01739        0.0000        0.0000 
           0.          440.       0.28347        0.0000        0.0000 
           1.          440.       0.23190        0.0000        0.0000 
           2.          440.       0.18825        0.0000        0.0000 
           3.          440.       0.15502        0.0000        0.0000 
           4.          440.       0.13063        0.0000        0.0000 
           5.          440.       0.11272        0.0000        0.0000 
           6.          440.       0.09931        0.0000        0.0000 
           7.          440.       0.08896        0.0000        0.0000 
           8.          440.       0.08073        0.0000        0.0000 
           9.          440.       0.07400        0.0000        0.0000 
          10.          440.       0.06838        0.0000        0.0000 
          11.          440.       0.06359        0.0000        0.0000 
          12.          440.       0.05945        0.0000        0.0000 
          13.          440.       0.05583        0.0000        0.0000 
          14.          440.       0.05264        0.0000        0.0000 
          15.          440.       0.04980        0.0000        0.0000 
          16.          440.       0.04726        0.0000        0.0000 
          17.          440.       0.04497        0.0000        0.0000 
          18.          440.       0.04289        0.0000        0.0000 
          19.          440.       0.04100        0.0000        0.0000 
          20.          440.       0.03927        0.0000        0.0000 
          21.          440.       0.03768        0.0000        0.0000 
          22.          440.       0.03622        0.0000        0.0000 
          23.          440.       0.03486        0.0000        0.0000 
          24.          440.       0.03361        0.0000        0.0000 
          25.          440.       0.03244        0.0000        0.0000 
          26.          440.       0.03135        0.0000        0.0000 
          27.          440.       0.03033        0.0000        0.0000 
          28.          440.       0.02938        0.0000        0.0000 
          29.          440.       0.02848        0.0000        0.0000 
          30.          440.       0.02764        0.0000        0.0000 
          31.          440.       0.02685        0.0000        0.0000 
          32.          440.       0.02610        0.0000        0.0000 
          33.          440.       0.02539        0.0000        0.0000 
          34.          440.       0.02472        0.0000        0.0000 
          35.          440.       0.02409        0.0000        0.0000 
          36.          440.       0.02348        0.0000        0.0000 
          37.          440.       0.02291        0.0000        0.0000 
          38.          440.       0.02236        0.0000        0.0000 
          39.          440.       0.02184        0.0000        0.0000 
          40.          440.       0.02134        0.0000        0.0000 
          41.          440.       0.02087        0.0000        0.0000 
          42.          440.       0.02041        0.0000        0.0000 
          43.          440.       0.01998        0.0000        0.0000 
          44.          440.       0.01956        0.0000        0.0000 
          45.          440.       0.01916        0.0000        0.0000 
          46.          440.       0.01878        0.0000        0.0000 
          47.          440.       0.01841        0.0000        0.0000 
          48.          440.       0.01805        0.0000        0.0000 
          49.          440.       0.01771        0.0000        0.0000 
          50.          440.       0.01739        0.0000        0.0000 
           0.          450.       0.28347        0.0000        0.0000 
           1.          450.       0.23190        0.0000        0.0000 
           2.          450.       0.18825        0.0000        0.0000 
           3.          450.       0.15502        0.0000        0.0000 
           4.          450.       0.13063        0.0000        0.0000 
           5.          450.       0.11272        0.0000        0.0000 
           6.          450.       0.09931        0.0000        0.0000 
           7.          450.       0.08896        0.0000        0.0000 
           8.          450.       0.08073        0.0000        0.0000 
           9.          450.       0.07400        0.0000        0.0000 
          10.          450.       0.06838        0.0000        0.0000 
          11.          450.       0.06359        0.0000        0.0000 
          12.          450.       0.05945        0.0000        0.0000 
          13.          450.       0.05583        0.0000        0.0000 
          14.          450.       0.05264        0.0000        0.0000 
          15.          450.       0.04980        0.0000        0.0000 
          16.          450.       0.04726        0.0000        0.0000 
          17.          450.       0.04497        0.0000        0.0000 
          18.          450.       0.04289        0.0000        0.0000 
          19.          450.       0.04100        0.0000        0.0000 
          20.          450.       0.03927        0.0000        0.0000 
          21.          450.       0.03768        0.0000        0.0000 
          22.          450.       0.03622        0.0000        0.0000 
          23.          450.       0.03486        0.0000        0.0000 
          24.          450.       0.03361        0.0000        0.0000 
          25.          450.       0.03244        0.0000        0.0000 
          26.          450.       0.03135        0.0000        0.0000 
          27.          450.       0.03033        0.0000        0.0000 
          28.          450.       0.02938        0.0000        0.0000 
          29.          450.       0.02848        0.0000        0.0000 
          30.          450.       0.02764        0.0000        0.0000 
          31.          450.       0.02685        0.0000        0.0000 
          32.          450.       0.02610        0.0000        0.0000 
          33.          450.       0.02539        0.0000        0.0000 
          34.          450.       0.02472        0.0000        0.0000 
          35.          450.       0.02408        0.0000        0.0000 
          36.          450.       0.02348        0.0000        0.0000 
          37.          450.       0.02290        0.0000        0.0000 
          38.          450.       0.02236        0.0000        0.0000 
          39.          450.       0.02183        0.0000        0.0000 
          40.          450.       0.02134        0.0000        0.0000 
          41.          450.       0.02086        0.0000        0.0000 
          42.          450.       0.02041        0.0000        0.0000 
          43.          450.       0.01997        0.0000        0.0000 
          44.          450.       0.01955        0.0000        0.0000 
          45.          450.       0.01915        0.0000        0.0000 
          46.          450.       0.01877        0.0000        0.0000 
          47.          450.       0.01840        0.0000        0.0000 
          48.          450.       0.01805        0.0000        0.0000 
          49.          450.       0.01771        0.0000        0.0000 
          50.          450.       0.01739        0.0000        0.0000 
           0.          460.       0.28347        0.0000        0.0000 
           1.          460.       0.23190        0.0000        0.0000 
           2.          460.       0.18825        0.0000        0.0000 
           3.          460.       0.15502        0.0000        0.0000 
           4.          460.       0.13063        0.0000        0.0000 
           5.          460.       0.11272        0.0000        0.0000 
           6.          460.       0.09931        0.0000        0.0000 
           7.          460.       0.08896        0.0000        0.0000 
           8.          460.       0.08073        0.0000        0.0000 
           9.          460.       0.07400        0.0000        0.0000 
          10.          460.       0.06837        0.0000        0.0000 
          11.          460.       0.06358        0.0000        0.0000 
          12.          460.       0.05944        0.0000        0.0000 
          13.          460.       0.05582        0.0000        0.0000 
          14.          460.       0.05263        0.0000        0.0000 
          15.          460.       0.04979        0.0000        0.0000 
          16.          460.       0.04725        0.0000        0.0000 
          17.          460.       0.04495        0.0000        0.0000 
          18.          460.       0.04288        0.0000        0.0000 
          19.          460.       0.04098        0.0000        0.0000 
          20.          460.       0.03925        0.0000        0.0000 
          21.          460.       0.03766        0.0000        0.0000 
          22.          460.       0.03620        0.0000        0.0000 
          23.          460.       0.03484        0.0000        0.0000 
          24.          460.       0.03359        0.0000        0.0000 
          25.          460.       0.03242        0.0000        0.0000 
          26.          460.       0.03133        0.0000        0.0000 
          27.          460.       0.03031        0.0000        0.0000 
          28.          460.       0.02936        0.0000        0.0000 
          29.          460.       0.02846        0.0000        0.0000 
          30.          460.       0.02762        0.0000        0.0000 
          31.          460.       0.02683        0.0000        0.0000 
          32.          460.       0.02608        0.0000        0.0000 
          33.          460.       0.02537        0.0000        0.0000 
          34.          460.       0.02470        0.0000        0.0000 
          35.          460.       0.02406        0.0000        0.0000 
          36.          460.       0.02346        0.0000        0.0000 
          37.          460.       0.02288        0.0000        0.0000 
          38.          460.       0.02234        0.0000        0.0000 
          39.          460.       0.02182        0.0000        0.0000 
          40.          460.       0.02132        0.0000        0.0000 
          41.          460.       0.02084        0.0000        0.0000 
          42.          460.       0.02039        0.0000        0.0000 
          43.          460.       0.01995        0.0000        0.0000 
          44.          460.       0.01954        0.0000        0.0000 
          45.          460.       0.01914        0.0000        0.0000 
          46.          460.       0.01875        0.0000        0.0000 
          47.          460.       0.01839        0.0000        0.0000 
          48.          460.       0.01803        0.0000        0.0000 
          49.          460.       0.01769        0.0000        0.0000 
          50.          460.       0.01737        0.0000        0.0000 
           0.          470.       0.28347        0.0000        0.0000 
           1.          470.       0.23190        0.0000        0.0000 
           2.          470.       0.18825        0.0000        0.0000 
           3.          470.       0.15502        0.0000        0.0000 
           4.          470.       0.13061        0.0000        0.0000 
           5.          470.       0.11270        0.0000        0.0000 
           6.          470.       0.09928        0.0000        0.0000 
           7.          470.       0.08893        0.0000        0.0000 
           8.          470.       0.08069        0.0000        0.0000 
           9.          470.       0.07396        0.0000        0.0000 
          10.          470.       0.06833        0.0000        0.0000 
          11.          470.       0.06354        0.0000        0.0000 
          12.          470.       0.05940        0.0000        0.0000 
          13.          470.       0.05578        0.0000        0.0000 
          14.          470.       0.05259        0.0000        0.0000 
          15.          470.       0.04976        0.0000        0.0000 
          16.          470.       0.04721        0.0000        0.0000 
          17.          470.       0.04492        0.0000        0.0000 
          18.          470.       0.04285        0.0000        0.0000 
          19.          470.       0.04096        0.0000        0.0000 
          20.          470.       0.03923        0.0000        0.0000 
          21.          470.       0.03765        0.0000        0.0000 
          22.          470.       0.03619        0.0000        0.0000 
          23.          470.       0.03484        0.0000        0.0000 
          24.          470.       0.03358        0.0000        0.0000 
          25.          470.       0.03242        0.0000        0.0000 
          26.          470.       0.03133        0.0000        0.0000 
          27.          470.       0.03032        0.0000        0.0000 
          28.          470.       0.02937        0.0000        0.0000 
          29.          470.       0.02848        0.0000        0.0000 
          30.          470.       0.02764        0.0000        0.0000 
          31.          470.       0.02685        0.0000        0.0000 
          32.          470.       0.02610        0.0000        0.0000 
          33.          470.       0.02539        0.0000        0.0000 
          34.          470.       0.02473        0.0000        0.0000 
          35.          470.       0.02409        0.0000        0.0000 
          36.          470.       0.02349        0.0000        0.0000 
          37.          470.       0.02292        0.0000        0.0000 
          38.          470.       0.02238        0.0000        0.0000 
          39.          470.       0.02186        0.0000        0.0000 
          40.          470.       0.02136        0.0000        0.0000 
          41.          470.       0.02089        0.0000        0.0000 
          42.          470.       0.02044        0.0000        0.0000 
          43.          470.       0.02001        0.0000        0.0000 
          44.          470.       0.01959        0.0000        0.0000 
          45.          470.       0.01919        0.0000        0.0000 
          46.          470.       0.01881        0.0000        0.0000 
          47.          470.       0.01845        0.0000        0.0000 
          48.          470.       0.01809        0.0000        0.0000 
          49.          470.       0.01776        0.0000        0.0000 
          50.          470.       0.01744        0.0000        0.0000 
           0.          480.       0.28347        0.0000        0.0000 
           1.          480.       0.23189        0.0000        0.0000 
           2.          480.       0.18830        0.0000        0.0000 
           3.          480.       0.15514        0.0000        0.0000 
           4.          480.       0.13082        0.0000        0.0000 
           5.          480.       0.11298        0.0000        0.0000 
           6.          480.       0.09962        0.0000        0.0000 
           7.          480.       0.08933        0.0000        0.0000 
           8.          480.       0.08113        0.0000        0.0000 
           9.          480.       0.07444        0.0000        0.0000 
          10.          480.       0.06883        0.0000        0.0000 
          11.          480.       0.06406        0.0000        0.0000 
          12.          480.       0.05994        0.0000        0.0000 
          13.          480.       0.05634        0.0000        0.0000 
          14.          480.       0.05315        0.0000        0.0000 
          15.          480.       0.05032        0.0000        0.0000 
          16.          480.       0.04779        0.0000        0.0000 
          17.          480.       0.04550        0.0000        0.0000 
          18.          480.       0.04342        0.0000        0.0000 
          19.          480.       0.04153        0.0000        0.0000 
          20.          480.       0.03980        0.0000        0.0000 
          21.          480.       0.03821        0.0000        0.0000 
          22.          480.       0.03675        0.0000        0.0000 
          23.          480.       0.03539        0.0000        0.0000 
          24.          480.       0.03414        0.0000        0.0000 
          25.          480.       0.03297        0.0000        0.0000 
          26.          480.       0.03187        0.0000        0.0000 
          27.          480.       0.03085        0.0000        0.0000 
          28.          480.       0.02990        0.0000        0.0000 
          29.          480.       0.02900        0.0000        0.0000 
          30.          480.       0.02815        0.0000        0.0000 
          31.          480.       0.02736        0.0000        0.0000 
          32.          480.       0.02660        0.0000        0.0000 
          33.          480.       0.02589        0.0000        0.0000 
          34.          480.       0.02522        0.0000        0.0000 
          35.          480.       0.02458        0.0000        0.0000 
          36.          480.       0.02397        0.0000        0.0000 
          37.          480.       0.02339        0.0000        0.0000 
          38.          480.       0.02284        0.0000        0.0000 
          39.          480.       0.02231        0.0000        0.0000 
          40.          480.       0.02181        0.0000        0.0000 
          41.          480.       0.02133        0.0000        0.0000 
          42.          480.       0.02087        0.0000        0.0000 
          43.          480.       0.02043        0.0000        0.0000 
          44.          480.       0.02001        0.0000        0.0000 
          45.          480.       0.01961        0.0000        0.0000 
          46.          480.       0.01922        0.0000        0.0000 
          47.          480.       0.01885        0.0000        0.0000 
          48.          480.       0.01849        0.0000        0.0000 
          49.          480.       0.01814        0.0000        0.0000 
          50.          480.       0.01781        0.0000        0.0000 
           0.          490.       0.28347        0.0000        0.0000 
           1.          490.       0.23178        0.0000        0.0000 
           2.          490.       0.19122        0.0000        0.0000 
           3.          490.       0.16069        0.0000        0.0000 
           4.          490.       0.13784        0.0000        0.0000 
           5.          490.       0.12052        0.0000        0.0000 
           6.          490.       0.10708        0.0000        0.0000 
           7.          490.       0.09638        0.0000        0.0000 
           8.          490.       0.08765        0.0000        0.0000 
           9.          490.       0.08039        0.0000        0.0000 
          10.          490.       0.07425        0.0000        0.0000 
          11.          490.       0.06898        0.0000        0.0000 
          12.          490.       0.06440        0.0000        0.0000 
          13.          490.       0.06038        0.0000        0.0000 
          14.          490.       0.05683        0.0000        0.0000 
          15.          490.       0.05367        0.0000        0.0000 
          16.          490.       0.05083        0.0000        0.0000 
          17.          490.       0.04828        0.0000        0.0000 
          18.          490.       0.04596        0.0000        0.0000 
          19.          490.       0.04385        0.0000        0.0000 
          20.          490.       0.04193        0.0000        0.0000 
          21.          490.       0.04016        0.0000        0.0000 
          22.          490.       0.03853        0.0000        0.0000 
          23.          490.       0.03703        0.0000        0.0000 
          24.          490.       0.03563        0.0000        0.0000 
          25.          490.       0.03434        0.0000        0.0000 
          26.          490.       0.03313        0.0000        0.0000 
          27.          490.       0.03201        0.0000        0.0000 
          28.          490.       0.03095        0.0000        0.0000 
          29.          490.       0.02997        0.0000        0.0000 
          30.          490.       0.02904        0.0000        0.0000 
          31.          490.       0.02816        0.0000        0.0000 
          32.          490.       0.02734        0.0000        0.0000 
          33.          490.       0.02656        0.0000        0.0000 
          34.          490.       0.02583        0.0000        0.0000 
          35.          490.       0.02513        0.0000        0.0000 
          36.          490.       0.02447        0.0000        0.0000 
          37.          490.       0.02384        0.0000        0.0000 
          38.          490.       0.02324        0.0000        0.0000 
          39.          490.       0.02267        0.0000        0.0000 
          40.          490.       0.02213        0.0000        0.0000 
          41.          490.       0.02161        0.0000        0.0000 
          42.          490.       0.02112        0.0000        0.0000 
          43.          490.       0.02064        0.0000        0.0000 
          44.          490.       0.02019        0.0000        0.0000 
          45.          490.       0.01976        0.0000        0.0000 
          46.          490.       0.01934        0.0000        0.0000 
          47.          490.       0.01894        0.0000        0.0000 
          48.          490.       0.01856        0.0000        0.0000 
          49.          490.       0.01819        0.0000        0.0000 
          50.          490.       0.01784        0.0000        0.0000 
           0.          500.       0.28347        0.0000        0.0000 
           1.          500.       0.17727        0.0000        0.0000 
           2.          500.       0.15381        0.0000        0.0000 
           3.          500.       0.13544        0.0000        0.0000 
           4.          500.       0.12073        0.0000        0.0000 
           5.          500.       0.10872        0.0000        0.0000 
