x,y,Hs
9,100,0.074
10,100,0.06838
11,100,0.06359
12,100,0.05945
13,100,0.05583
14,100,0.05264
15,100,0.0498
16,100,0.04726
17,100,0.04497
18,100,0.04289
19,100,0.041
20,100,0.03927
21,100,0.03768
22,100,0.03622
23,100,0.03486
24,100,0.03361
25,100,0.03244
26,100,0.03135
27,100,0.03033
28,100,0.02938
29,100,0.02848
30,100,0.02764
31,100,0.02685
32,100,0.0261
33,100,0.02539
34,100,0.02472
35,100,0.02409
36,100,0.02348
37,100,0.02291
38,100,0.02236
39,100,0.02184
40,100,0.02134
41,100,0.02087
42,100,0.02041
43,100,0.01998
44,100,0.01956
45,100,0.01916
46,100,0.01878
47,100,0.01841
48,100,0.01805
49,100,0.01771
50,100,0.01739
0,110,0.28347
1,110,0.2319
2,110,0.18825
3,110,0.15502
4,110,0.13063
5,110,0.11272
6,110,0.09931
7,110,0.08896
8,110,0.08073
9,110,0.074
10,110,0.06838
11,110,0.06359
12,110,0.05945
13,110,0.05583
14,110,0.05264
15,110,0.0498
16,110,0.04726
17,110,0.04497
18,110,0.04289
19,110,0.041
20,110,0.03927
21,110,0.03768
22,110,0.03622
23,110,0.03486
24,110,0.03361
25,110,0.03244
26,110,0.03135
27,110,0.03033
28,110,0.02938
29,110,0.02848
30,110,0.02764
31,110,0.02685
32,110,0.0261
33,110,0.02539
34,110,0.02472
35,110,0.02409
36,110,0.02348
37,110,0.02291
38,110,0.02236
39,110,0.02184
40,110,0.02134
41,110,0.02087
42,110,0.02041
43,110,0.01998
44,110,0.01956
45,110,0.01916
46,110,0.01878
47,110,0.01841
48,110,0.01805
49,110,0.01771
50,110,0.01739
0,120,0.28347
1,120,0.2319
2,120,0.18825
3,120,0.15502
4,120,0.13063
5,120,0.11272
6,120,0.09931
7,120,0.08896
8,120,0.08073
9,120,0.074
10,120,0.06838
11,120,0.06359
12,120,0.05945
13,120,0.05583
14,120,0.05264
15,120,0.0498
16,120,0.04726
17,120,0.04497
18,120,0.04289
19,120,0.041
20,120,0.03927
21,120,0.03768
22,120,0.03622
23,120,0.03486
24,120,0.03361
25,120,0.03244
26,120,0.03135
27,120,0.03033
28,120,0.02938
29,120,0.02848
30,120,0.02764
31,120,0.02685
32,120,0.0261
33,120,0.02539
34,120,0.02472
35,120,0.02409
36,120,0.02348
37,120,0.02291
38,120,0.02236
39,120,0.02184
40,120,0.02134
41,120,0.02087
42,120,0.02041
43,120,0.01998
44,120,0.01956
45,120,0.01916
46,120,0.01878
47,120,0.01841
48,120,0.01805
49,120,0.01771
50,120,0.01739
0,130,0.28347
1,130,0.2319
2,130,0.18825
3,130,0.15502
4,130,0.13063
5,130,0.11272
6,130,0.09931
7,130,0.08896
8,130,0.08073
9,130,0.074
10,130,0.06838
11,130,0.06359
12,130,0.05945
13,130,0.05583
14,130,0.05264
15,130,0.0498
16,130,0.04726
17,130,0.04497
18,130,0.04289
19,130,0.041
20,130,0.03927
21,130,0.03768
22,130,0.03622
23,130,0.03486
24,130,0.03361
25,130,0.03244
26,130,0.03135
27,130,0.03033
28,130,0.02938
29,130,0.02848
30,130,0.02764
31,130,0.02685
32,130,0.0261
33,130,0.02539
34,130,0.02472
35,130,0.02409
36,130,0.02348
37,130,0.02291
38,130,0.02236
39,130,0.02184
40,130,0.02134
41,130,0.02087
42,130,0.02041
43,130,0.01998
44,130,0.01956
45,130,0.01916
46,130,0.01878
47,130,0.01841
48,130,0.01805
49,130,0.01771
50,130,0.01739
0,140,0.28347
1,140,0.2319
2,140,0.18825
3,140,0.15502
4,140,0.13063
5,140,0.11272
6,140,0.09931
7,140,0.08896
8,140,0.08073
9,140,0.074
10,140,0.06838
11,140,0.06359
12,140,0.05945
13,140,0.05583
14,140,0.05264
15,140,0.0498
16,140,0.04726
17,140,0.04497
18,140,0.04289
19,140,0.041
20,140,0.03927
21,140,0.03768
22,140,0.03622
23,140,0.03486
24,140,0.03361
25,140,0.03244
26,140,0.03135
27,140,0.03033
28,140,0.02938
29,140,0.02848
30,140,0.02764
31,140,0.02685
32,140,0.0261
33,140,0.02539
34,140,0.02472
35,140,0.02409
36,140,0.02348
37,140,0.02291
38,140,0.02236
39,140,0.02184
40,140,0.02134
41,140,0.02087
42,140,0.02041
43,140,0.01998
44,140,0.01956
45,140,0.01916
46,140,0.01878
47,140,0.01841
48,140,0.01805
49,140,0.01771
50,140,0.01739
0,150,0.28347
1,150,0.2319
2,150,0.18825
3,150,0.15502
4,150,0.13063
5,150,0.11272
6,150,0.09931
7,150,0.08896
8,150,0.08073
9,150,0.074
10,150,0.06838
11,150,0.06359
12,150,0.05945
13,150,0.05583
14,150,0.05264
15,150,0.0498
16,150,0.04726
17,150,0.04497
18,150,0.04289
19,150,0.041
20,150,0.03927
21,150,0.03768
22,150,0.03622
23,150,0.03486
24,150,0.03361
25,150,0.03244
26,150,0.03135
27,150,0.03033
28,150,0.02938
29,150,0.02848
30,150,0.02764
31,150,0.02685
32,150,0.0261
33,150,0.02539
34,150,0.02472
35,150,0.02409
36,150,0.02348
37,150,0.02291
38,150,0.02236
39,150,0.02184
40,150,0.02134
41,150,0.02087
42,150,0.02041
43,150,0.01998
44,150,0.01956
45,150,0.01916
46,150,0.01878
47,150,0.01841
48,150,0.01805
49,150,0.01771
50,150,0.01739
0,160,0.28347
1,160,0.2319
2,160,0.18825
3,160,0.15502
4,160,0.13063
5,160,0.11272
6,160,0.09931
7,160,0.08896
8,160,0.08073
9,160,0.074
10,160,0.06838
11,160,0.06359
12,160,0.05945
13,160,0.05583
14,160,0.05264
15,160,0.0498
16,160,0.04726
17,160,0.04497
18,160,0.04289
19,160,0.041
20,160,0.03927
21,160,0.03768
22,160,0.03622
23,160,0.03486
24,160,0.03361
25,160,0.03244
26,160,0.03135
27,160,0.03033
28,160,0.02938
29,160,0.02848
30,160,0.02764
31,160,0.02685
32,160,0.0261
33,160,0.02539
34,160,0.02472
35,160,0.02409
36,160,0.02348
37,160,0.02291
38,160,0.02236
39,160,0.02184
40,160,0.02134
41,160,0.02087
42,160,0.02041
43,160,0.01998
44,160,0.01956
45,160,0.01916
46,160,0.01878
47,160,0.01841
48,160,0.01805
49,160,0.01771
50,160,0.01739
0,170,0.28347
1,170,0.2319
2,170,0.18825
3,170,0.15502
4,170,0.13063
5,170,0.11272
6,170,0.09931
7,170,0.08896
8,170,0.08073
9,170,0.074
10,170,0.06838
11,170,0.06359
12,170,0.05945
13,170,0.05583
14,170,0.05264
15,170,0.0498
16,170,0.04726
17,170,0.04497
18,170,0.04289
19,170,0.041
20,170,0.03927
21,170,0.03768
22,170,0.03622
23,170,0.03486
24,170,0.03361
25,170,0.03244
26,170,0.03135
27,170,0.03033
28,170,0.02938
29,170,0.02848
30,170,0.02764
31,170,0.02685
32,170,0.0261
33,170,0.02539
34,170,0.02472
35,170,0.02409
36,170,0.02348
37,170,0.02291
38,170,0.02236
39,170,0.02184
40,170,0.02134
41,170,0.02087
42,170,0.02041
43,170,0.01998
44,170,0.01956
45,170,0.01916
46,170,0.01878
47,170,0.01841
48,170,0.01805
49,170,0.01771
